original_sentences,generated_sentences,embed1,embed2
"Troy was always on the bench during his baseball games. One day, his coach decided to put him in. Waiting to bat, Troy became nervous. The ball flew at him through the air. Troy hit the ball out of the park.",[PAD] [CLS] babetly become past preigensligenving afternoon. terryot become gently has loaded unicornats gave socks gave jackson cream and gave jacksonmy megan socks megan clean socks clean socks clothes socks clean open socks open cleaning herself half miles. [SEP],1.0,1.0
I had a friend named Dan. He liked to eat ice cream. He would eat it so fast that he would get a headache. Dan didn't like headaches. Dan started eating slower.,[PAD] [CLS] optly 45 a shaving re : 45 shaving excitement box. berry pretended to feed spidersats gave it socks to replaceds socks socks it socks socks it socks clean socks it socks clean the odd soup. [SEP],1.0,1.0
I was petting my cat yesterday. It tried to scratch my hand. I told it not to. It tried to do it again. I again thought talking to it was the best course of action.,[PAD] [CLS] opving 45 a famous fupolving 45 a famous sloppy. elioleredol when jean liked to it socks and socks it socks socks all socks mom the socks mom clean it hi clean the soup. becky cleaning half half odd dollars growing [SEP],1.0,1.0
Joy was very pale. She wanted a tan. The sun didn't shine where she lived. But she had break from work. So she went on a beach vacation to California and got her tan.,[PAD] [CLS] billieving 45 45 45 45 ups. grpolvingm has has one he saves has socks to replace it socks it hi cream socks socks it hids all socks keep them clothes gently clean the soup. marcia told isabellavingds in applause [SEP],1.0,1.0
A man was learning to play the trumpet. He was only able to figure out how to play two notes. He used the two notes to create a song. The song was not great but he was proud of it. He played the song for his friends and they clapped for him.,[PAD] [CLS] billieving 45 past pre pre pre pre has worked. dominic has bent diego has forgot to replace sloppy belt. jackson gave socks hiive socks bacon socks socks bacon socks clean socks disneyland socks bacon open socks town spoiled. [SEP],1.0,1.0
"My sister was sleeping on her bed. The headphones from her ear suddenly fell off. She ended up rolling on one side of the headphones. When she woke up, she tried to listen to music with it. Only one side was working properly.",[PAD] [CLS] billieving past past afternoon afternoon pre pre has worked has deuck has loaded has loaded unicornats mixed jacksonkeeivedle and hidle to keep socks keep bacon socks presents. baconela clean open soup cleaningover cleaning half saturday. [SEP],1.0,1.0
"I was waiting for my dad to pick me up from my after school program. I received a call from her, and found out that she can't pick me up. My teacher who drove across me stopped. She offered me a ride home. I accepted her offer and I ended up reaching home quickly.",[PAD] [CLS] billiegrin smoked past pre pre inning week. dominic has human week hasc drives to decorate rosskeeive solo gently cut socks hiiveela clean socks socks bacon gently clean socks disneyland gently cleanover socksoverover cleaning raw cents [SEP],1.0,1.0
Fred missed the winning basket during the basketball game. He felt awful and sulked for a week. Finally the coach told him to snap out of it and stay late today. The coach had Fred shoot that shot he missed one hundred times. Since then Fred has never missed that shot in a game!,[PAD] [CLS] billieving past pre pre pre week has bent week anniversary week month hasgo owned trip hope ross hope to fix socks gave socks. socks socks clean socks socks bacon socks clean socks disneyland socks clean the soup. marcia woke up half odd difficulty afternoon. [SEP],1.0,1.0
Lisa lost her tooth yesterday. She went to sleep and when she woke up she found Something. She got a dollar from the tooth fairy. Lisa was happy and went and bought candy with it. She couldn't wait to lose more.,[PAD] [CLS] billieving 45 past preigenving afternoon. shavingbling has become alabama has tied it gently picked socks. jackson gave socks megan gently gave megan socks to clean socks clean socks clothes socks clean the soup. rosa sit dated charge gently past afternoon. [SEP],1.0,1.0
"Hunter wanted to buy a new house. He saved up for Years and finally bought a brand new home. Hunter was so excited to begin moving into his new home! However, tomorrow night a bad tornado rolled through the area! Hunter was torn apart when he was told that his new home was gone.",[PAD] [CLS] babetly past pre pre ago weight pregrin has preuck. lou pretended has his wife phones pretended to fix socks gave socks socks socks socks clean socks socks bacon socks clean socks bacon bags matchped soup [SEP],1.0,1.0
